Salary,Status,Manager,Experience,CompanySize,Sector,Gender
155000,1,0,6,70,4,1
79000,1,0,3,30,4,1
112000,1,0,20,10,4,1
120000,1,1,20,10,4,0
144000,1,1,4,30,4,1
125000,1,0,5,150,4,1
300000,3,0,10,8,4,1
85000,1,0,15,3,2,1
92000,1,0,16,30,2,1
75500,1,0,5,20,4,1
89500,1,0,20,85,4,1
102000,1,0,3,30,1,1
130000,1,0,18,16,1,1
76500,1,0,2,7,4,1
140000,1,0,25,50,4,1
60000,1,0,6,1,4,1
160000,1,0,20,100,4,1
125000,1,1,15,10,4,1
64000,1,0,18,20,1,1
70000,1,0,5,30,2,1
82000,1,0,15,10,4,1
168000,1,0,4,6,4,1
79000,1,0,4,4,4,1
127000,1,0,20,12,4,1
93000,1,0,0,145,4,1
80000,1,0,8,5,4,1
119000,1,1,25,100,4,1
92000,1,0,7,500,4,1
110000,1,0,17,3,3,1
275000,1,1,10,100,4,1
80000,2,0,6,1500,4,1
135000,1,1,12,2,4,1
125860,1,0,20,6,4,0
106000,1,0,10,200,2,1
90000,1,0,4,32,4,1
85000,1,0,5,15,3,1
130000,1,0,5,25,4,0
90000,1,0,20,60,4,0
200000,2,1,24,100,4,1
81112,1,0,3,49,4,1
130000,1,0,33,15,4,0
105000,1,1,6,3,4,1
135000,1,0,5,5,4,0
120000,1,1,3,5,4,1
170000,2,0,16,10,4,1
176000,1,0,10,10,4,1
113000,1,0,7,8,4,1
100000,1,0,20,85,4,1
152000,1,0,21,100,4,1
154000,1,0,35,20,2,0
88000,1,0,7,2,4,1
98500,1,0,23,10,2,1
90000,1,0,20,122,3,1
145000,1,0,2,20,4,1
95000,1,0,20,2,4,1
63000,1,0,5,50,4,1
113000,1,0,15,17,4,1
125000,1,0,18,100,4,1
101000,1,0,1,50,4,1
120000,2,1,3,20,4,1
110000,1,0,7,50,4,1
102000,1,0,10,56,4,1
76000,1,0,6,60,4,1
92000,1,1,19,1000,2,1
115000,1,0,20,75,4,1
155000,2,0,2,700,2,1
195000,3,0,25,5,4,1
90000,1,0,11,150,4,1
136000,1,1,21,200,4,1
101000,1,0,8,6,4,1
68000,1,0,1,9,4,1
69000,1,1,7,4,2,1
137000,1,1,2,15,4,1
94000,1,0,7,150,4,1
92000,1,0,2,2,4,1
113000,1,0,11,50,4,1
90000,1,0,3,30,4,1
130000,1,0,20,15,2,0
120000,1,0,4,16,4,1
124000,1,0,25,10,4,1
109000,1,0,6,300,4,0
94000,2,0,1,10,4,1
132134,1,0,8,320,3,0
122000,1,0,21,90,3,1
96000,1,0,1,4,4,1
122000,1,0,6,20,2,1
84000,1,0,3,800,4,1
69000,1,0,9,50,4,1
157000,1,0,15,5,4,1
104000,3,0,1,1,4,1
98000,1,0,20,10,2,0
115000,1,0,10,400,4,1
128000,1,0,10,30,4,1
110000,1,1,15,20,2,1
54000,1,0,1,12,4,1
75035,1,0,14,20,4,1
218000,3,0,33,10,4,1
130000,1,0,24,12,4,1
170000,1,1,7,12,4,1
125500,1,0,4,30,4,1
102000,1,1,10,100,4,0
65000,1,0,3,26,4,1
115000,1,0,7,50,4,1
83000,1,0,4,5,4,1
124800,1,0,2,10,3,1
55000,1,0,2,5,4,1
173000,1,1,6,65,4,0
80000,1,0,4,200,4,1
103000,1,1,2,50,2,1
74500,1,0,5,1800,4,1
99500,1,0,10,500,4,1
92000,1,0,8,4,4,1
104000,1,1,8,8,1,1
75000,1,0,1,30,4,1
80000,1,0,7,3,4,1
93000,1,0,3,3000,4,1
98080,1,0,2,3,2,1
160000,1,0,14,5,2,1
94000,1,1,11,4,4,1
150000,1,1,10,10,4,1
93000,1,0,7,12,4,1
100500,1,0,10,6,2,1
148000,1,0,1,26,4,1
87000,1,1,1,2,4,1
150128,2,0,7,3,4,1
120000,1,1,10,12,4,1
80000,1,1,23,11,2,1
150000,1,0,1,30,4,1
87000,1,0,9,10,4,1
90000,1,0,20,1200,4,0
132000,1,0,10,1000,4,1
100000,1,0,15,4,4,1
98000,1,0,5,1100,2,1
100000,1,1,25,3,2,1
108000,1,0,3,10,4,1
68000,1,0,1,1700,4,1
130,3,1,20,100,4,1
126000,1,0,30,3,4,1
109000,1,0,3,2,4,1
150000,1,0,8,10,4,1
135000,1,0,20,10,4,1
156000,1,1,3,40,4,1
80000,1,0,1,30,4,1
78000,2,0,9,10,4,1
115000,1,0,20,2,4,1
165166,1,0,5,962,4,1
88000,1,0,5,100,4,1
175000,1,1,6,10,4,1
102500,1,0,10,3,4,1
155000,1,0,1,50,4,1
130500,1,0,23,20,4,1
123200,1,0,4,3,4,1
115000,1,0,1,50,2,1
130000,1,0,10,200,4,1
122000,1,0,20,4,4,1
108000,1,0,5,900,4,1
64000,1,0,5,2,4,1
114000,3,0,5,15,4,0
115000,1,0,20,8,4,1
125000,1,0,5,5,4,1
125000,1,0,21,12,4,1
75000,2,0,3,1,4,1
